,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,CMF
141,2021-09-01 13:00:00+07:00,18700.0,86,18365.0,249.0,SELL,-0.03835282671220008
142,2021-09-06 13:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.061625536857758206
143,2021-09-08 10:00:00+07:00,19000.0,87,19068.0,-155.0,SELL,-0.07341729494292044
144,2021-09-13 13:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.31510889877302667
145,2021-09-15 10:00:00+07:00,19500.0,89,19269.0,142.0,SELL,-0.03251336260753687
146,2021-09-21 10:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.16247573153949535
147,2021-09-23 15:00:00+07:00,19100.0,87,19068.0,-55.0,SELL,-0.026170884841868882
148,2021-09-24 09:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.04824850456501023
149,2021-09-24 14:00:00+07:00,19100.0,87,19269.0,-256.0,SELL,-0.07797132361654424
150,2021-09-28 11:00:00+07:00,19100.0,68,19168.0,0.0,BUY,0.047787229319944516
151,2021-09-28 14:00:00+07:00,18800.0,86,19168.0,-454.0,SELL,-0.0483681361175572
152,2021-09-29 09:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.06456535825120088
153,2021-10-18 14:00:00+07:00,21800.0,100,19068.0,2632.0,SELL,-0.0284272432688826
154,2021-10-21 09:00:00+07:00,22600.0,81,22681.0,0.0,BUY,0.06513610336845573
155,2021-10-28 10:00:00+07:00,22800.0,104,22681.0,15.0,SELL,-0.20290153161706326
156,2021-11-04 10:00:00+07:00,23000.0,82,23082.0,0.0,BUY,0.022627207001956126
157,2021-11-04 14:00:00+07:00,22800.0,104,23082.0,-386.0,SELL,-0.09624500854413368
158,2021-11-08 11:00:00+07:00,22800.0,82,22882.0,0.0,BUY,0.06289824559952092
159,2021-11-08 14:00:00+07:00,22800.0,104,22882.0,-186.0,SELL,-0.011588949414485385
160,2021-11-18 10:00:00+07:00,22600.0,81,22681.0,0.0,BUY,0.004704432177500276
161,2021-11-19 10:00:00+07:00,22400.0,103,22681.0,-384.0,SELL,-0.04728649788400157
162,2021-11-19 14:00:00+07:00,22600.0,81,22681.0,0.0,BUY,0.02719952320462081
163,2021-11-22 10:00:00+07:00,22200.0,102,22681.0,-583.0,SELL,-0.23196851257075865
164,2021-11-22 15:00:00+07:00,22200.0,79,22279.0,0.0,BUY,0.041478899090832334
165,2021-11-26 14:00:00+07:00,21600.0,99,22279.0,-778.0,SELL,-0.02105936076921442
166,2021-12-02 14:00:00+07:00,22200.0,79,22279.0,0.0,BUY,0.05612019514720957
167,2021-12-15 09:00:00+07:00,19700.0,90,22279.0,-2669.0,SELL,-0.09289062922168785
168,2021-12-17 09:00:00+07:00,19600.0,70,19670.0,0.0,BUY,0.03650649576881032
169,2021-12-17 10:00:00+07:00,19500.0,89,19670.0,-259.0,SELL,-0.028200907956375493
170,2021-12-17 13:00:00+07:00,19600.0,70,19670.0,0.0,BUY,0.03093207092135153
171,2021-12-21 13:00:00+07:00,19000.0,87,19670.0,-757.0,SELL,-0.014847073461907835
172,2021-12-21 14:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.03214463765715948
173,2021-12-22 09:00:00+07:00,19100.0,87,19068.0,-55.0,SELL,-0.08671436547210483
174,2021-12-22 11:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.01670894148089162
175,2021-12-30 10:00:00+07:00,19100.0,87,19269.0,-256.0,SELL,-0.013465031675028926
176,2022-01-03 09:00:00+07:00,19200.0,69,19269.0,0.0,BUY,0.005952846761418086
177,2022-01-04 14:00:00+07:00,19600.0,90,19269.0,241.0,SELL,-0.11721530288667684
178,2022-01-07 15:00:00+07:00,19400.0,69,19469.0,0.0,BUY,0.03699216655445223
179,2022-02-02 10:00:00+07:00,18700.0,86,19469.0,-855.0,SELL,-0.028717640718909573
180,2022-02-02 11:00:00+07:00,18800.0,67,18867.0,0.0,BUY,0.03546164942568464
181,2022-02-02 14:00:00+07:00,18700.0,86,18867.0,-253.0,SELL,-0.015046435894344762
182,2022-02-03 10:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.10673083622826092
183,2022-02-24 10:00:00+07:00,19200.0,88,19068.0,44.0,SELL,-0.06905549673548714
184,2022-03-01 10:00:00+07:00,19100.0,68,19168.0,0.0,BUY,0.07228997814123041
185,2022-03-02 13:00:00+07:00,19000.0,87,19168.0,-255.0,SELL,-0.01315468972391142
186,2022-03-02 14:00:00+07:00,19100.0,68,19168.0,0.0,BUY,0.046342158269065854
187,2022-03-08 09:00:00+07:00,18800.0,86,19168.0,-454.0,SELL,-0.014809928916762728
188,2022-03-08 10:00:00+07:00,18900.0,68,18968.0,0.0,BUY,0.0628247787774376
189,2022-03-08 13:00:00+07:00,18700.0,86,18968.0,-354.0,SELL,-0.03868868475027358
190,2022-03-10 14:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.03674043892000215
191,2022-03-11 09:00:00+07:00,18900.0,86,19068.0,-254.0,SELL,-0.014776039476808648
192,2022-03-11 14:00:00+07:00,19000.0,68,19068.0,0.0,BUY,0.0661488682544523
193,2022-03-18 10:00:00+07:00,18600.0,85,19068.0,-553.0,SELL,-0.09610861255136405
194,2022-04-04 10:00:00+07:00,18600.0,66,18666.0,0.0,BUY,0.007333642226324616
195,2022-04-05 15:00:00+07:00,18700.0,86,18666.0,-52.0,SELL,-0.0020467811022994243
196,2022-04-11 10:00:00+07:00,17700.0,63,17763.0,0.0,BUY,0.04188936474967582
197,2022-04-11 11:00:00+07:00,17600.0,80,17763.0,-243.0,SELL,-0.003254881667463922
198,2022-04-11 15:00:00+07:00,17500.0,63,17563.0,0.0,BUY,0.009815650764649653
199,2022-04-12 10:00:00+07:00,17300.0,79,17563.0,-342.0,SELL,-0.01592008740440168
200,2022-04-12 13:00:00+07:00,17300.0,62,17362.0,0.0,BUY,0.06700073643934444
201,2022-04-18 15:00:00+07:00,17000.0,78,17362.0,-440.0,SELL,-0.011686227262029657
