,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,DC_hband,DC_mband,DC_lband
101,2020-12-16 11:00:00+07:00,25000.0,115,25290.0,-405.0,SELL,260.0,253.0,246.0
102,2020-12-17 10:00:00+07:00,25200.0,90,25290.0,0.0,BUY,260.0,253.0,246.0
103,2020-12-17 14:00:00+07:00,25000.0,115,25290.0,-405.0,SELL,258.0,252.0,246.0
104,2020-12-21 11:00:00+07:00,24800.0,89,24889.0,0.0,BUY,256.0,252.0,248.0
105,2020-12-23 09:00:00+07:00,24200.0,111,24889.0,-800.0,SELL,254.0,243.0,232.0
106,2020-12-23 10:00:00+07:00,24800.0,89,24889.0,0.0,BUY,254.0,243.0,232.0
107,2020-12-23 14:00:00+07:00,24400.0,112,24889.0,-601.0,SELL,254.0,243.0,232.0
108,2021-01-06 14:00:00+07:00,24600.0,88,24688.0,0.0,BUY,252.0,245.0,238.0
109,2021-01-07 13:00:00+07:00,24600.0,113,24688.0,-201.0,SELL,252.0,245.0,238.0
110,2021-01-14 09:00:00+07:00,24600.0,88,24688.0,0.0,BUY,256.0,251.0,246.0
111,2021-01-20 09:00:00+07:00,23000.0,105,24688.0,-1793.0,SELL,246.0,233.0,220.0
112,2021-01-20 10:00:00+07:00,23400.0,84,23484.0,0.0,BUY,244.0,232.0,220.0
113,2021-01-27 09:00:00+07:00,22200.0,102,23484.0,-1386.0,SELL,238.0,227.0,216.0
114,2021-01-28 13:00:00+07:00,21800.0,78,21878.0,0.0,BUY,238.0,228.0,218.0
115,2021-02-02 13:00:00+07:00,21600.0,99,21878.0,-377.0,SELL,228.0,220.0,212.0
116,2021-02-03 10:00:00+07:00,22200.0,79,22279.0,0.0,BUY,228.0,220.0,212.0
117,2021-02-03 13:00:00+07:00,22000.0,101,22279.0,-380.0,SELL,228.0,220.0,212.0
118,2021-02-04 09:00:00+07:00,22400.0,80,22480.0,0.0,BUY,228.0,220.0,212.0
119,2021-02-04 13:00:00+07:00,21800.0,100,22480.0,-780.0,SELL,228.0,221.0,214.0
120,2021-02-08 10:00:00+07:00,22200.0,79,22279.0,0.0,BUY,226.0,221.0,216.0
121,2021-02-08 13:00:00+07:00,22600.0,103,22279.0,218.0,SELL,226.0,221.0,216.0
122,2021-02-08 14:00:00+07:00,23200.0,83,23283.0,0.0,BUY,236.0,226.0,216.0
123,2021-02-09 11:00:00+07:00,23000.0,105,23283.0,-388.0,SELL,236.0,227.0,218.0
124,2021-02-10 09:00:00+07:00,22800.0,82,22882.0,0.0,BUY,236.0,227.0,218.0
125,2021-02-10 10:00:00+07:00,22600.0,103,22882.0,-385.0,SELL,236.0,227.0,218.0
126,2021-02-10 11:00:00+07:00,22800.0,82,22882.0,0.0,BUY,236.0,227.0,218.0
127,2021-02-15 10:00:00+07:00,23600.0,108,22882.0,610.0,SELL,236.0,230.0,224.0
128,2021-02-17 15:00:00+07:00,23000.0,82,23082.0,0.0,BUY,240.0,235.0,230.0
129,2021-02-19 11:00:00+07:00,23400.0,107,23082.0,211.0,SELL,240.0,235.0,230.0
130,2021-02-19 13:00:00+07:00,23600.0,84,23684.0,0.0,BUY,240.0,235.0,230.0
131,2021-02-22 09:00:00+07:00,23400.0,107,23684.0,-391.0,SELL,240.0,235.0,230.0
132,2021-02-23 09:00:00+07:00,23600.0,84,23684.0,0.0,BUY,240.0,235.0,230.0
133,2021-02-24 10:00:00+07:00,23800.0,109,23684.0,7.0,SELL,238.0,234.0,230.0
134,2021-03-01 10:00:00+07:00,24200.0,87,24287.0,0.0,BUY,244.0,237.0,230.0
135,2021-03-02 13:00:00+07:00,23600.0,108,24287.0,-795.0,SELL,248.0,239.0,230.0
136,2021-03-03 11:00:00+07:00,23800.0,85,23885.0,0.0,BUY,248.0,239.0,230.0
137,2021-03-08 11:00:00+07:00,23400.0,107,23885.0,-592.0,SELL,240.0,236.0,232.0
138,2021-03-08 13:00:00+07:00,23600.0,84,23684.0,0.0,BUY,240.0,236.0,232.0
139,2021-03-09 11:00:00+07:00,23400.0,107,23684.0,-391.0,SELL,240.0,236.0,232.0
140,2021-03-10 09:00:00+07:00,24200.0,87,24287.0,0.0,BUY,244.0,238.0,232.0
141,2021-03-10 13:00:00+07:00,24000.0,110,24287.0,-397.0,SELL,244.0,239.0,234.0
142,2021-03-12 11:00:00+07:00,24200.0,87,24287.0,0.0,BUY,244.0,239.0,234.0
143,2021-03-12 14:00:00+07:00,24000.0,110,24287.0,-397.0,SELL,244.0,239.0,234.0
144,2021-03-16 10:00:00+07:00,25000.0,90,25090.0,0.0,BUY,254.0,245.0,236.0
145,2021-03-17 09:00:00+07:00,24600.0,113,25090.0,-603.0,SELL,254.0,245.0,236.0
146,2021-03-18 14:00:00+07:00,25000.0,90,25090.0,0.0,BUY,254.0,247.0,240.0
147,2021-03-19 09:00:00+07:00,24800.0,114,25090.0,-404.0,SELL,254.0,248.0,242.0
148,2021-03-22 13:00:00+07:00,25000.0,90,25090.0,0.0,BUY,250.0,247.0,244.0
149,2021-03-23 09:00:00+07:00,24600.0,113,25090.0,-603.0,SELL,250.0,247.0,244.0
150,2021-03-23 10:00:00+07:00,24800.0,89,24889.0,0.0,BUY,250.0,247.0,244.0
151,2021-03-23 14:00:00+07:00,24800.0,114,24889.0,-203.0,SELL,250.0,247.0,244.0
152,2021-03-24 13:00:00+07:00,24000.0,86,24086.0,0.0,BUY,250.0,245.0,240.0
153,2021-03-31 10:00:00+07:00,23200.0,106,24086.0,-992.0,SELL,238.0,233.0,228.0
154,2021-03-31 11:00:00+07:00,23400.0,84,23484.0,0.0,BUY,238.0,233.0,228.0
155,2021-03-31 13:00:00+07:00,23200.0,106,23484.0,-390.0,SELL,238.0,233.0,228.0
156,2021-03-31 14:00:00+07:00,23400.0,84,23484.0,0.0,BUY,238.0,233.0,228.0
157,2021-04-01 09:00:00+07:00,23600.0,108,23484.0,8.0,SELL,238.0,233.0,228.0
158,2021-04-01 11:00:00+07:00,23400.0,84,23484.0,0.0,BUY,238.0,233.0,228.0
159,2021-04-01 15:00:00+07:00,23800.0,109,23484.0,207.0,SELL,238.0,233.0,228.0
160,2021-04-06 11:00:00+07:00,23600.0,84,23684.0,0.0,BUY,240.0,235.0,230.0
161,2021-04-06 13:00:00+07:00,23400.0,107,23684.0,-391.0,SELL,240.0,235.0,230.0
162,2021-04-07 10:00:00+07:00,24400.0,87,24487.0,0.0,BUY,246.0,239.0,232.0
163,2021-04-07 11:00:00+07:00,24600.0,113,24487.0,0.0,SELL,246.0,239.0,232.0
164,2021-04-12 13:00:00+07:00,23600.0,84,23684.0,0.0,BUY,252.0,244.0,236.0
165,2021-04-19 09:00:00+07:00,24000.0,110,23684.0,206.0,SELL,242.0,237.0,232.0
166,2021-04-19 13:00:00+07:00,24000.0,86,24086.0,0.0,BUY,242.0,239.0,236.0
167,2021-04-21 10:00:00+07:00,23800.0,109,24086.0,-395.0,SELL,242.0,239.0,236.0
168,2021-04-21 15:00:00+07:00,23600.0,84,23684.0,0.0,BUY,242.0,239.0,236.0
169,2021-04-22 15:00:00+07:00,24000.0,110,23684.0,206.0,SELL,240.0,238.0,236.0
170,2021-04-23 09:00:00+07:00,23600.0,84,23684.0,0.0,BUY,240.0,238.0,236.0
171,2021-04-27 13:00:00+07:00,23600.0,108,23684.0,-192.0,SELL,240.0,237.0,234.0
172,2021-04-28 10:00:00+07:00,24200.0,87,24287.0,0.0,BUY,242.0,238.0,234.0
173,2021-04-28 14:00:00+07:00,24600.0,113,24287.0,200.0,SELL,246.0,240.0,234.0
174,2021-04-29 14:00:00+07:00,24400.0,87,24487.0,0.0,BUY,248.0,241.0,234.0
175,2021-05-05 11:00:00+07:00,24000.0,110,24487.0,-597.0,SELL,244.0,241.0,238.0
176,2021-05-06 09:00:00+07:00,24200.0,87,24287.0,0.0,BUY,244.0,241.0,238.0
177,2021-05-07 13:00:00+07:00,23400.0,107,24287.0,-994.0,SELL,244.0,238.0,232.0
178,2021-05-11 11:00:00+07:00,22400.0,80,22480.0,0.0,BUY,244.0,234.0,224.0
179,2021-05-18 10:00:00+07:00,22800.0,104,22480.0,216.0,SELL,232.0,228.0,224.0
180,2021-05-18 13:00:00+07:00,23000.0,82,23082.0,0.0,BUY,232.0,228.0,224.0
181,2021-05-19 09:00:00+07:00,22800.0,104,23082.0,-386.0,SELL,232.0,228.0,224.0
182,2021-05-20 09:00:00+07:00,22400.0,80,22480.0,0.0,BUY,232.0,228.0,224.0
183,2021-05-27 09:00:00+07:00,21400.0,98,22480.0,-1178.0,SELL,228.0,219.0,210.0
184,2021-06-02 11:00:00+07:00,21600.0,77,21677.0,0.0,BUY,218.0,215.0,212.0
185,2021-06-03 09:00:00+07:00,22200.0,102,21677.0,421.0,SELL,222.0,217.0,212.0
186,2021-06-08 10:00:00+07:00,21800.0,78,21878.0,0.0,BUY,230.0,224.0,218.0
187,2021-06-11 15:00:00+07:00,22000.0,101,21878.0,21.0,SELL,220.0,215.0,210.0
188,2021-06-16 13:00:00+07:00,21200.0,76,21276.0,0.0,BUY,222.0,217.0,212.0
189,2021-06-21 09:00:00+07:00,20600.0,94,21276.0,-770.0,SELL,216.0,210.0,204.0
190,2021-06-24 10:00:00+07:00,20200.0,72,20272.0,0.0,BUY,214.0,208.0,202.0
191,2021-07-05 09:00:00+07:00,19200.0,88,20272.0,-1160.0,SELL,197.0,194.0,191.0
192,2021-07-05 13:00:00+07:00,19100.0,68,19168.0,0.0,BUY,197.0,194.0,191.0
193,2021-07-06 13:00:00+07:00,19500.0,89,19168.0,243.0,SELL,195.0,193.0,191.0
194,2021-07-06 14:00:00+07:00,19800.0,71,19871.0,0.0,BUY,198.0,194.5,191.0
195,2021-07-06 15:00:00+07:00,19800.0,91,19871.0,-162.0,SELL,198.0,194.5,191.0
196,2021-07-08 14:00:00+07:00,20400.0,73,20473.0,0.0,BUY,216.0,203.5,191.0
197,2021-07-09 09:00:00+07:00,20200.0,92,20473.0,-365.0,SELL,216.0,204.0,192.0
198,2021-07-12 10:00:00+07:00,19600.0,70,19670.0,0.0,BUY,216.0,206.0,196.0
199,2021-07-15 09:00:00+07:00,19400.0,89,19670.0,-359.0,SELL,202.0,196.5,191.0
200,2021-07-16 11:00:00+07:00,19500.0,70,19570.0,0.0,BUY,200.0,195.5,191.0
201,2021-07-16 14:00:00+07:00,19500.0,89,19570.0,-159.0,SELL,200.0,195.5,191.0
202,2021-07-19 10:00:00+07:00,19500.0,70,19570.0,0.0,BUY,200.0,195.5,191.0
203,2021-07-21 14:00:00+07:00,19400.0,89,19570.0,-259.0,SELL,198.0,195.0,192.0
204,2021-07-26 15:00:00+07:00,19200.0,69,19269.0,0.0,BUY,197.0,194.5,192.0
205,2021-07-30 09:00:00+07:00,19500.0,89,19269.0,142.0,SELL,204.0,197.5,191.0
206,2021-07-30 15:00:00+07:00,19000.0,68,19068.0,0.0,BUY,204.0,197.0,190.0
207,2021-08-05 09:00:00+07:00,19200.0,88,19068.0,44.0,SELL,195.0,192.5,190.0
208,2021-08-05 10:00:00+07:00,19200.0,69,19269.0,0.0,BUY,195.0,192.5,190.0
209,2021-08-06 09:00:00+07:00,19200.0,88,19269.0,-157.0,SELL,195.0,193.0,191.0
210,2021-08-06 14:00:00+07:00,19200.0,69,19269.0,0.0,BUY,194.0,192.5,191.0
211,2021-08-09 09:00:00+07:00,19200.0,88,19269.0,-157.0,SELL,194.0,192.5,191.0
212,2021-08-09 13:00:00+07:00,19300.0,69,19369.0,0.0,BUY,194.0,192.5,191.0
213,2021-08-10 09:00:00+07:00,18800.0,86,19369.0,-655.0,SELL,194.0,190.5,187.0
214,2021-08-10 10:00:00+07:00,18700.0,67,18767.0,0.0,BUY,194.0,190.5,187.0
215,2021-08-18 13:00:00+07:00,17800.0,81,18767.0,-1048.0,SELL,184.0,178.5,173.0
216,2021-08-20 11:00:00+07:00,17800.0,64,17864.0,0.0,BUY,180.0,176.5,173.0
217,2021-08-20 13:00:00+07:00,18000.0,82,17864.0,54.0,SELL,180.0,177.0,174.0
218,2021-08-26 11:00:00+07:00,17900.0,64,17964.0,0.0,BUY,183.0,181.0,179.0
219,2021-08-27 09:00:00+07:00,18000.0,82,17964.0,-46.0,SELL,183.0,181.0,179.0
220,2021-08-27 11:00:00+07:00,17900.0,64,17964.0,0.0,BUY,183.0,181.0,179.0
221,2021-08-27 15:00:00+07:00,18300.0,84,17964.0,252.0,SELL,183.0,181.0,179.0
222,2021-08-30 10:00:00+07:00,18600.0,66,18666.0,0.0,BUY,188.0,183.5,179.0
223,2021-08-30 14:00:00+07:00,18800.0,86,18666.0,48.0,SELL,188.0,183.5,179.0
224,2021-09-02 13:00:00+07:00,18500.0,66,18566.0,0.0,BUY,191.0,188.0,185.0
225,2021-09-08 13:00:00+07:00,19000.0,87,18566.0,347.0,SELL,194.0,191.0,188.0
226,2021-09-09 14:00:00+07:00,19300.0,69,19369.0,0.0,BUY,194.0,191.0,188.0
227,2021-09-10 09:00:00+07:00,19200.0,88,19369.0,-257.0,SELL,195.0,191.5,188.0
228,2021-09-10 10:00:00+07:00,19200.0,69,19269.0,0.0,BUY,195.0,191.5,188.0
229,2021-09-10 11:00:00+07:00,19100.0,87,19269.0,-256.0,SELL,195.0,191.5,188.0
230,2021-09-13 14:00:00+07:00,19300.0,69,19369.0,0.0,BUY,195.0,191.5,188.0
231,2021-09-16 13:00:00+07:00,19400.0,89,19369.0,-58.0,SELL,198.0,194.0,190.0
232,2021-09-20 13:00:00+07:00,19100.0,68,19168.0,0.0,BUY,196.0,193.5,191.0
233,2021-09-28 14:00:00+07:00,18800.0,86,19168.0,-454.0,SELL,193.0,190.0,187.0
